Original,Translated,Match,id,idCN
淘金乐园,ワンダーランド,True,84700019,淘金乐园/出售/沙金
出售,買い,True,84700019,淘金乐园/出售/沙金
沙金,砂金,True,84700019,淘金乐园/出售/沙金
修格里城,シュグリシティ,True,84700025,修格里城/收购/户外用品
收购,売り,True,84700025,修格里城/收购/户外用品
户外用品,アウトドア用品,True,84700025,修格里城/收购/户外用品
珍珠,真珠,True,84700030,修格里城/收购/珍珠
红茶,紅茶,True,84700062,淘金乐园/收购/红茶
刀具,東洋風の刃物,True,84700064,淘金乐园/收购/刀具
石墨烯电池,グラフェンバッテリー,True,84700073,修格里城/收购/石墨烯电池
化妆品,化粧品,True,84700083,淘金乐园/收购/化妆品
海盐,海塩,True,84700086,淘金乐园/收购/海盐
阿妮塔101民用无人机,アニタ101民用ドローン,True,84700090,淘金乐园/收购/阿妮塔101民用无人机
阿妮塔小型桦树发电机,アニタ小型発電機,True,84700093,淘金乐园/收购/阿妮塔小型桦树发电机
绿松石,トルコ石,True,84700096,修格里城/收购/绿松石
汽配零件,自動車パーツ,True,84700104,淘金乐园/收购/汽配零件
折扇,扇,True,84700120,淘金乐园/收购/折扇
沃德烤鸡,ワードチキン,True,84700122,淘金乐园/收购/沃德烤鸡
荧光棒,ライトスティック,True,84700130,修格里城/收购/荧光棒
啤酒,No.7 BEER,True,84700131,淘金乐园/收购/啤酒
阿妮塔能源研究所,アニタエネルギーラボ,True,84700133,阿妮塔能源研究所/收购/海盐
家用太阳能电池组,太陽電池,True,84700141,淘金乐园/收购/家用太阳能电池组
锂电池,リチウムバッテリー,True,84700153,修格里城/收购/锂电池
纳豆,納豆,True,84700160,淘金乐园/收购/纳豆
家电,家電,True,84700163,修格里城/出售/家电
土豆,ジャガイモ,True,84700170,淘金乐园/收购/土豆
白兰地,ブランデー,True,84700174,修格里城/收购/白兰地
行李箱包,トランク,True,84700178,修格里城/收购/行李箱包
斑节虾,ウシエビ,True,84700180,淘金乐园/收购/斑节虾
7号自由港,フリーポートNo.7,True,84700182,7号自由港/出售/桦石发财树
桦石发财树,混構結晶のパキラ,True,84700182,7号自由港/出售/桦石发财树
建材,建築材料,True,84700184,修格里城/收购/建材
带鱼,タチウオ,True,84700185,修格里城/收购/带鱼
学会书籍,学会印刷書,True,84700188,淘金乐园/收购/学会书籍
单晶硅,単結晶シリコン,True,84700204,淘金乐园/收购/单晶硅
高端护肤品,高級スキンケア,True,84700223,修格里城/收购/高端护肤品
石材,石材,True,84700225,修格里城/收购/石材
石墨,グラファイト,True,84700250,修格里城/收购/石墨
靛红五月军用食品,カーマイン・メイミリメシ,True,84700287,修格里城/收购/靛红五月军用食品
游戏机,ゲーム機,True,84700308,淘金乐园/收购/游戏机
钢筋混凝土轨枕,鉄筋コンクリートまくらぎ,True,84700328,修格里城/收购/钢筋混凝土轨枕
石墨烯,グラフェン,True,84700329,淘金乐园/收购/石墨烯
铁轨用特种钢材,鉄道用特殊鋼,True,84700331,淘金乐园/收购/铁轨用特种钢材
鱼子酱,キャビア,True,84700333,淘金乐园/收购/鱼子酱
海角辣椒,キダチトウガラシ,True,84700349,淘金乐园/收购/海角辣椒
鱿鱼,アオリイカ,True,84700358,修格里城/收购/鱿鱼
发动机,エンジン,True,84700368,修格里城/出售/发动机
玛瑙,メノウ,True,84700371,修格里城/收购/玛瑙
游戏卡带,ゲームカートリッジ,True,84700382,淘金乐园/收购/游戏卡带
黄铜,黄銅,True,84700386,淘金乐园/收购/黄铜
人工晶花,クリスタルフラワー,True,84700388,淘金乐园/收购/人工晶花
高档餐具,高級カトラリー,True,84700389,修格里城/出售/高档餐具
曼德矿场,マンド鉱山,True,84700395,曼德矿场/出售/曼德工具箱
曼德工具箱,マンドツールセット,True,84700395,曼德矿场/出售/曼德工具箱
漆黑矿渣,漆黒鉱滓,True,84700396,修格里城/收购/漆黑矿渣
录像带,ビデオテープ,True,84700398,淘金乐园/收购/录像带
火腿,ハム,True,84700411,淘金乐园/收购/火腿
火车玩具,列車モデル,True,84700417,淘金乐园/收购/火车玩具
画材,画材,True,84700429,修格里城/收购/画材
充电电池,二次電池,True,84700447,修格里城/收购/充电电池
澄明数据中心,クラリティデータセンター,True,84700460,澄明数据中心/出售/游戏机
石英砂,珪砂,True,84700469,修格里城/收购/石英砂
琥珀,コハク,True,84700491,淘金乐园/收购/琥珀
坚果,ナッツ,True,84700505,修格里城/收购/坚果
电子配件,電子部品,True,84700520,淘金乐园/收购/电子配件
大龙虾,ロブスター,True,84700522,淘金乐园/收购/大龙虾
轻奢女装,婦人服,True,84700525,修格里城/收购/轻奢女装
航天纪念品,宇宙記念品,True,84700534,淘金乐园/收购/航天纪念品
罐头,缶詰,True,84700539,淘金乐园/收购/罐头
孔雀石,マラカイト,True,84700549,淘金乐园/收购/孔雀石
弹丸加速装置,弾丸加速装置,True,84700553,淘金乐园/收购/弹丸加速装置
